# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1819
#@/user_id	brainocean_macos
a 	啊	c=2 d=0.118374 t=1818
kai shi xiao du 	開始消毒	c=1 d=0.0238732 t=1818
kai xin 	開心	c=1 d=0.0156076 t=1818
kan 	看	c=1 d=0.000191619 t=1818
kan chu 	看出	c=0 d=0.000396599 t=1818
kan dao 	看到	c=2 d=0.132521 t=1818
kan fa 	看法	c=0 d=7.20907e-05 t=1818
kan kan 	看看	c=3 d=0.0398155 t=1818
kan kan ta ben ren de tai du 	看看他本人的態度	c=1 d=0.00195963 t=1818
kan kan xie yi 	看看協議	c=1 d=0.0309618 t=1818
kao lv 	考慮	c=0 d=2.38772e-05 t=1818
kao lv san ge ren 	考慮三個人	c=1 d=0.000239969 t=1818
ke 	可	c=0 d=0.000375375 t=1818
ke bu ke neng 	可不可能	c=1 d=0.00377257 t=1818
ke da 	科大	c=2 d=0.000231902 t=1818
ke da xun fei 	科大訊飛	c=1 d=0.000315251 t=1818
ke da xun fei he zuo de 	科大訊飛合作的	c=1 d=0.00022263 t=1818
ke hu 	客戶	c=1 d=0.000402123 t=1818
ke hu duan 	客戶端	c=2 d=0.119562 t=1818
ke ji 	科技	c=1 d=0.422669 t=1818
ke ji jing sai 	科技競賽	c=1 d=0.418952 t=1818
ke neng 	可能	c=5 d=0.595837 t=1818
ke neng de 	可能的	c=1 d=0.367879 t=1818
ke neng xing 	可能性	c=1 d=0.26054 t=1818
ke yi 	可以	c=4 d=0.642676 t=1818
ke yi ba 	可以吧	c=1 d=0.00416933 t=1818
ke yi de 	可以的	c=1 d=0.00226541 t=1818
ke yi ma 	可以嗎	c=2 d=0.0684995 t=1818
ke yi qu xiao 	可以取消	c=1 d=0.565525 t=1818
ke yi you 	可以有	c=1 d=0.265803 t=1818
kong bai 	空白	c=0 d=0.000158052 t=1818
kong bai de 	空白的	c=1 d=0.00158844 t=1818
kong de 	空的	c=1 d=0.0515605 t=1818
kou 	口	c=1 d=0.00782838 t=1818
kou ling 	口令	c=1 d=0.0236356 t=1818
kou tou 	口頭	c=0 d=0.016696 t=1818
kou tou ti xing 	口頭提醒	c=1 d=0.167797 t=1818
kuai di 	快遞	c=3 d=0.135264 t=1818
kuai su 	快速	c=1 d=0.000854495 t=1818
kuan kuan 	寬寬	c=1 d=0.0742736 t=1818
kun nan 	困難	c=0 d=1.83188e-05 t=1818
kuo da 	擴大	c=0 d=0.000245409 t=1818
kuo da ying xiang 	擴大影響	c=1 d=0.00246639 t=1818
kuo zhan ban 	擴展板	c=7 d=0.0359359 t=1818
la 	啦	c=1 d=0.38868 t=1818
lai 	來	c=1 d=0.146164 t=1818
lai bu ji 	來不及	c=0 d=0.00241315 t=1818
lai bu ji le 	來不及了	c=1 d=0.0138427 t=1818
lai gong si 	來公司	c=1 d=0.000898306 t=1818
lai le 	來了	c=1 d=0.00286554 t=1818
lai yi xia 	來一下	c=2 d=0.00473942 t=1818
lai zhi xing 	來執行	c=1 d=0.00052611 t=1818
lai zu zhi 	來組織	c=1 d=0.302704 t=1818
lan se 	藍色	c=0 d=8.04733e-05 t=1818
lan se wen zi biao shi 	藍色文字標識	c=1 d=0.000808767 t=1818
lan ya 	藍牙	c=1 d=0.021068 t=1818
lao po 	老婆	c=0 d=0.0141979 t=1818
lao po hai zi 	老婆孩子	c=1 d=0.0665368 t=1818
lao shi 	老師	c=1 d=0.0190736 t=1818
le 	了	c=10 d=0.393809 t=1818
le gao 	樂高	c=5 d=3.51168 t=1818
le ma 	了嗎	c=0 d=0.00773608 t=1818
li hui 	例會	c=1 d=0.135335 t=1818
li jie 	理解	c=0 d=0.000299743 t=1818
li jie ba 	理解吧	c=1 d=0.00301245 t=1818
li mian 	裏面	c=2 d=0.481587 t=1818
li yong 	利用	c=1 d=0.0314188 t=1818
lia 	倆	c=1 d=0.000934966 t=1818
lian bu shang 	連不上	c=1 d=0.00941925 t=1818
lian he 	聯合	c=1 d=0.017953 t=1818
lian jie 	連接	c=0 d=0.0970446 t=1818
lian jie 	鏈結	c=2 d=0.0572014 t=1818
lian xi 	聯繫	c=1 d=0.000879447 t=1818
lian xian 	聯線	c=1 d=0.00752142 t=1818
liang 	亮	c=0 d=0.000477195 t=1818
liang 	良	c=1 d=0.000283018 t=1818
liang deng 	亮燈	c=2 d=0.0263433 t=1818
liang dian 	兩點	c=1 d=0.733447 t=1818
liang tian 	兩天	c=2 d=1.0548 t=1818
liao hui 	聊會	c=1 d=0.250324 t=1818
liao jie 	瞭解	c=1 d=0.000409735 t=1818
liao liao 	聊聊	c=2 d=0.0039391 t=1818
lie 	列	c=0 d=1.45549e-05 t=1818
lie biao 	列表	c=0 d=0.0634448 t=1818
lie biao ru xia 	列表如下	c=1 d=0.637628 t=1818
lie yi ge qing dan 	列一個清單	c=1 d=0.000146278 t=1818
lin shi 	臨時	c=1 d=0.0267827 t=1818
ling wai 	另外	c=1 d=0.00147367 t=1818
ling yu 	領域	c=0 d=0.0941765 t=1818
ling yu dan ci yu shu yu 	領域單詞與術語	c=1 d=0.946485 t=1818
liu 	流	c=0 d=1.84106e-05 t=1818
liu lan qi 	瀏覽器	c=1 d=0.201897 t=1818
liu xing 	流行	c=1 d=0.211189 t=1818
long feng 	龍鳳	c=1 d=0.398519 t=1818
lou lian 	露臉	c=0 d=0.000247875 t=1818
lou lian de ji hui 	露臉的機會	c=1 d=0.00249118 t=1818
lu de 	錄的	c=0 d=0.000355287 t=1818
lu shang 	路上	c=1 d=0.0285814 t=1818
lu yin 	錄音	c=1 d=0.116484 t=1818
lu zhi 	錄製	c=1 d=0.00214418 t=1818
lun yi 	輪椅	c=1 d=0.287941 t=1818
ma 	嗎	c=14 d=0.761482 t=1818
ma 	嘛	c=0 d=2.59956e-05 t=1818
ma fan 	麻煩	c=1 d=0.00484451 t=1818
ma fan ni 	麻煩你	c=2 d=0.557245 t=1818
ma fan nin le 	麻煩您了	c=1 d=0.0145524 t=1818
ma nong 	碼農	c=1 d=0.394554 t=1818
ma shang 	馬上	c=0 d=7.57869e-05 t=1818
ma shang you ge hui 	馬上有個會	c=1 d=0.000761668 t=1818
mai 	買	c=1 d=0.00101244 t=1818
mai de 	買的	c=1 d=0.00329615 t=1818
mei 	沒	c=0 d=0.00078152 t=1818
mei fan ying 	沒反應	c=3 d=0.0166503 t=1818
mei ge 	每個	c=1 d=0.263158 t=1818
mei ge ren 	每個人	c=2 d=0.81572 t=1818
mei guan xi 	沒關係	c=1 d=0.0101529 t=1818
mei qu bie 	沒區別	c=1 d=0.00763509 t=1818
mei sha yong ba 	沒啥用吧	c=1 d=0.169483 t=1818
mei wen ti 	沒問題	c=1 d=0.00012465 t=1818
mei yi jian 	沒意見	c=0 d=0.000191125 t=1818
mei yong de 	沒用的	c=1 d=0.0117371 t=1818
mei you 	沒有	c=4 d=0.566339 t=1818
mei you fa cuo 	沒有發錯	c=1 d=0.000219315 t=1818
mei you fan 	沒有反	c=1 d=0.0049667 t=1818
mei you fan ying 	沒有反應	c=1 d=0.00306549 t=1818
mei you tong bu 	沒有同步	c=1 d=0.00151098 t=1818
meng 	猛	c=1 d=0.0837432 t=1818
ming bai le 	明白了	c=2 d=0.0413499 t=1818
ming dan 	名單	c=1 d=0.000500451 t=1818
ming ling hang 	命令行	c=1 d=0.913931 t=1818
ming que 	明確	c=1 d=0.000647672 t=1818
ming que yi xia 	明確一下	c=1 d=0.000547581 t=1818
ming tian 	明天	c=4 d=0.103739 t=1818
ming zi 	名字	c=1 d=0.00110822 t=1818
mo kuai 	模塊	c=6 d=0.0721684 t=1818
mo shi 	模式	c=1 d=0.965605 t=1818
mu di 	目的	c=1 d=0.000380129 t=1818
mu qian 	目前	c=4 d=0.638694 t=1818
mu qian hai mei you que ding 	目前還沒有確定	c=1 d=0.000246044 t=1818
na 	拿	c=0 d=0.00150707 t=1818
na 	那	c=3 d=0.680597 t=1818
na dao 	拿到	c=2 d=0.0352359 t=1818
na dong xi 	拿東西	c=0 d=0.0028297 t=1818
na ge 	哪個	c=1 d=0.00386887 t=1818
na ge 	那個	c=3 d=0.026416 t=1818
na ge xian 	哪個線	c=1 d=0.00491728 t=1818
na jiu 	那就	c=1 d=0.0478936 t=1818
na jiu bie xiu le 	那就別修了	c=2 d=0.0645872 t=1818
na jiu ming tian 	那就明天	c=1 d=0.173774 t=1818
na jiu qu xiao 	那就取消	c=1 d=0.99005 t=1818
na ke neng bu xing 	那可能不行	c=1 d=0.0101022 t=1818
na li 	那裏	c=1 d=0.0148065 t=1818
na ni jiu 	那你就	c=1 d=0.0397558 t=1818
na wo men 	那我們	c=1 d=0.0109985 t=1818
na wo ming tian 	那我明天	c=1 d=0.00196945 t=1818
na xie 	哪些	c=0 d=1.44823e-05 t=1818
na xie 	那些	c=1 d=0.00141589 t=1818
nan 	難	c=0 d=0.000292342 t=1818
nei rong 	內容	c=1 d=0.000405624 t=1818
nei rong he shi jian 	內容和時間	c=1 d=0.00042433 t=1818
neng 	能	c=5 d=0.162919 t=1818
neng bu neng 	能不能	c=2 d=0.0299952 t=1818
neng gou 	能夠	c=3 d=0.179596 t=1818
neng kan chu yuan yin ma 	能看出原因嗎	c=1 d=0.00398587 t=1818
neng li 	能力	c=0 d=1.33688e-05 t=1818
neng li ceng 	能力層	c=1 d=0.000134358 t=1818
ni 	你	c=5 d=0.0718696 t=1818
ni an xin 	你安心	c=1 d=0.0658748 t=1818
ni bu yong dan xin 	你不用擔心	c=1 d=0.0713613 t=1818
ni chu lai na dong xi 	你出來拿東西	c=1 d=0.0284388 t=1818
ni de 	你的	c=3 d=0.0155281 t=1818
ni fa 	你發	c=1 d=0.677057 t=1818
ni gei 	你給	c=1 d=0.0769192 t=1818
ni hao 	你好	c=2 d=0.0591114 t=1818
ni ke yi 	你可以	c=1 d=0.000149233 t=1818
ni lai 	你來	c=1 d=0.00018046 t=1818
ni lao po 	你老婆	c=1 d=0.0761538 t=1818
ni men 	你們	c=8 d=0.695418 t=1818
ni men bu shi 	你們不是	c=1 d=0.00615802 t=1818
ni men de kan fa 	你們的看法	c=1 d=0.000724521 t=1818
ni men tuan dui 	你們團隊	c=1 d=0.000242381 t=1818
ni na li you ma 	你那裏有嗎	c=1 d=0.0614212 t=1818
ni shang ci 	你上次	c=1 d=0.00162866 t=1818
ni shou dao 	你收到	c=1 d=0.00137404 t=1818
ni tong yi 	你同意	c=1 d=0.00188279 t=1818
ni yao shi 	你要是	c=0 d=0.000191125 t=1818
ni yao shi fang bian 	你要是方便	c=1 d=0.000889368 t=1818
ni yao shi mei yi jian 	你要是沒意見	c=1 d=0.00192083 t=1818
ni yi jing 	你已經	c=1 d=0.000150733 t=1818
ni you mei you 	你有沒有	c=1 d=0.00499159 t=1818
ni zai 	你在	c=2 d=0.832353 t=1818
ni zhua jin shi jian 	你抓緊時間	c=1 d=0.00145173 t=1818
nin 	您	c=0 d=0.00889361 t=1818
nin de 	您的	c=1 d=0.0930145 t=1818
nin jin tian 	您今天	c=1 d=0.013912 t=1818
nin kan 	您看	c=0 d=0.00426384 t=1818
nin kan kan 	您看看	c=1 d=0.025223 t=1818
nin kan zhe yang tian xie 	您看這樣填寫	c=1 d=0.0428521 t=1818
nin ming tian 	您明天	c=1 d=0.0142642 t=1818
nin na ge 	您那個	c=1 d=0.0127784 t=1818
o 	哦	c=2 d=0.0157898 t=1818
pai 	派	c=1 d=0.000518277 t=1818
pei 	陪	c=1 d=0.066205 t=1818
pei he 	配合	c=1 d=0.609571 t=1818
pei xun 	培訓	c=2 d=0.00314227 t=1818
pei yang 	培養	c=1 d=0.000792752 t=1818
pei zhi 	配製	c=1 d=0.000642592 t=1818
pi 	批	c=0 d=0.0557106 t=1818
pi liang 	批量	c=0 d=0.0110251 t=1818
pi liang dao ru 	批量導入	c=1 d=0.110803 t=1818
pi yi xia 	批一下	c=1 d=0.559898 t=1818
pin 	拼	c=1 d=0.878095 t=1818
pin yin 	拼音	c=1 d=0.000186888 t=1818
ping tai 	平臺	c=0 d=0.0418952 t=1818
ping xuan 	評選	c=1 d=0.634448 t=1818
qi dong 	啓動	c=2 d=0.0308175 t=1818
qi shi 	其實	c=1 d=0.0510474 t=1818
qi ta 	其他	c=3 d=0.00874378 t=1818
qi ta de 	其他的	c=1 d=0.0270518 t=1818
qi ta ren 	其他人	c=0 d=2.42381e-05 t=1818
qi ye 	企業	c=1 d=0.00109605 t=1818
qi ye wei xin 	企業微信	c=1 d=0.00098783 t=1818
qian 	簽	c=1 d=0.000118571 t=1818
qian gua 	牽掛	c=0 d=0.00294518 t=1818
qian he tong 	簽合同	c=1 d=0.000116806 t=1818
qian tian 	前天	c=1 d=0.00463092 t=1818
qian zai 	潛在	c=0 d=1.62473e-05 t=1818
qian zai ke hu 	潛在客戶	c=1 d=0.000163287 t=1818
qian zi 	簽字	c=0 d=0.00761538 t=1818
qian zi sheng ming shu 	簽字聲明書	c=1 d=0.0765355 t=1818
qiang zhi 	強制	c=0 d=0.0519442 t=1818
qiang zhi xiu jia ke yi 	強制休假可以	c=1 d=0.522046 t=1818
qin qin 	親親	c=1 d=0.028297 t=1818
qing 	請	c=13 d=1.84388 t=1818
qing bang wo 	請幫我	c=1 d=0.000187825 t=1818
qing chu 	清楚	c=0 d=0.0271173 t=1818
qing da jia 	請大家	c=1 d=0.364219 t=1818
qing dan 	清單	c=1 d=0.000635047 t=1818
qing dao 	請到	c=1 d=0.0023344 t=1818
qing gao zhi 	請告知	c=1 d=0.000428594 t=1818
qing ji tian 	請幾天	c=1 d=0.0675424 t=1818
qing jiao 	請教	c=0 d=0.000367942 t=1818
qing jiao ge wen ti 	請教個問題	c=1 d=0.00369786 t=1818
qing jin liang 	請儘量	c=1 d=0.000147748 t=1818
qing kuang 	情況	c=3 d=0.33812 t=1818
qing lian xi 	請聯繫	c=0 d=0.0149569 t=1818
qing lian xi wo 	請聯繫我	c=1 d=0.150318 t=1818
qing ni 	請你	c=1 d=0.00115345 t=1818
qing shao nian 	青少年	c=1 d=0.379083 t=1818
qing wen 	請問	c=3 d=0.0197943 t=1818
qing wen nin 	請問您	c=1 d=0.0086517 t=1818
qing yi 	請以	c=1 d=0.146607 t=1818
qu 	去	c=0 d=0.0371577 t=1818
qu 	取	c=0 d=0.00141223 t=1818
qu ba 	去吧	c=0 d=0.00108347 t=1818
qu bie 	區別	c=0 d=0.000759701 t=1818
qu diao 	去掉	c=0 d=8.12821e-05 t=1818
qu dong 	驅動	c=2 d=0.0406888 t=1818
qu xian 	曲線	c=0 d=0.0151072 t=1818
qu xiao 	取消	c=1 d=0.679443 t=1818
qu xue xiao 	去學校	c=1 d=0.0143357 t=1818
qu zhao ni 	去找你	c=2 d=0.765448 t=1818
que ding 	確定	c=0 d=6.69147e-05 t=1818
que ding hou 	確定後	c=1 d=0.000426457 t=1818
que kou 	缺口	c=1 d=0.251579 t=1818
que ren 	確認	c=5 d=0.173115 t=1818
que ren yi xia 	確認一下	c=1 d=0.511709 t=1818
ran hou 	然後	c=1 d=0.00215492 t=1818
rang chu lai 	讓出來	c=0 d=0.000290884 t=1818
rang chu lai rong yi 	讓出來容易	c=1 d=0.00292342 t=1818
rang ta men 	讓他們	c=1 d=0.00173804 t=1818
rang wo 	讓我	c=1 d=0.00733572 t=1818
ren 	人	c=1 d=0.84268 t=1818
ren gong zhi neng 	人工智能	c=3 d=0.0819702 t=1818
ren he 	任何	c=1 d=0.00554422 t=1818
ren wu 	任務	c=0 d=1.44823e-05 t=1818
ren xing hua 	人性化	c=1 d=0.00031751 t=1818
ren yuan 	人員	c=3 d=0.67707 t=1818
ri 	日	c=1 d=0.353455 t=1818
ri yong 	日用	c=0 d=0.00221482 t=1818
ri yong wu pin 	日用物品	c=1 d=0.0222592 t=1818
rong lu 	融爐	c=1 d=0.000263884 t=1818
rong lu 	鎔爐	c=1 d=0.000265207 t=1818
rong yao 	榮耀	c=1 d=0.414783 t=1818
rong yi 	容易	c=0 d=0.000290884 t=1818
ru guo 	如果	c=4 d=0.687045 t=1818
ru guo hai shi bu xing 	如果還是不行	c=1 d=0.00786762 t=1818
ru guo jian rong 	如果兼容	c=1 d=0.0026852 t=1818
ru guo neng 	如果能	c=0 d=0.000168667 t=1818
ru guo neng kan dao 	如果能看到	c=1 d=0.00169512 t=1818
ru guo ta 	如果他	c=1 d=0.162026 t=1818
ru guo you yi wen 	如果有疑問	c=1 d=0.149569 t=1818
ru he 	如何	c=0 d=0.000222055 t=1818
ru he fen gong 	如何分工	c=1 d=0.00223168 t=1818
ru xia 	如下	c=0 d=0.0634448 t=1818
ru xuan 	入選	c=2 d=1.31091 t=1818
ruan jian 	軟件	c=1 d=0.217621 t=1818
san 	三	c=1 d=0.000754089 t=1818
san ge ren 	三個人	c=0 d=2.38772e-05 t=1818
san ming zhi 	三明治	c=1 d=0.000757869 t=1818
sang 	桑	c=1 d=0.582748 t=1818
se 	色	c=1 d=0.0187793 t=1818
shan chu 	刪除	c=0 d=8.29241e-05 t=1818
shan chu xian 	刪除線	c=1 d=0.000833397 t=1818
shang 	上	c=3 d=0.18768 t=1818
shang ban tian 	上半天	c=1 d=0.0395575 t=1818
shang bao 	上報	c=1 d=0.625002 t=1818
shang chuan 	上傳	c=1 d=0.00360656 t=1818
shang ci 	上次	c=2 d=0.00365461 t=1818
shang feng you jian 	上封郵件	c=1 d=0.12307 t=1818
shang hai 	上海	c=7 d=1.79602 t=1818
shang hai shi 	上海市	c=0 d=0.0017249 t=1818
shang hai shi yang pu qu 	上海市楊浦區	c=1 d=0.0173355 t=1818
shang liang 	商量	c=0 d=0.000116504 t=1818
shang liang hao 	商量好	c=1 d=0.000939653 t=1818
shang liang yi xia 	商量一下	c=2 d=0.0270325 t=1818
shang mian 	上面	c=2 d=0.000240252 t=1818
shang qi 	上汽	c=2 d=0.000604058 t=1818
shang wu 	上午	c=1 d=0.0332068 t=1818
shang xue 	上學	c=0 d=0.00387742 t=1818
shao deng 	稍等	c=1 d=0.00364281 t=1818
shao ke zhan 	少科站	c=1 d=0.416862 t=1818
she ji 	涉及	c=1 d=0.214381 t=1818
she ji 	設計	c=1 d=0.215456 t=1818
she shi 	設施	c=0 d=0.0282239 t=1818
shen bao 	申報	c=2 d=0.687788 t=1818
shen me 	什麼	c=1 d=0.00542928 t=1818
shen pi 	審批	c=1 d=0.0011491 t=1818
shen pi yi jian 	審批意見	c=1 d=0.00105946 t=1818
shen qi de 	神奇的	c=0 d=0.00014018 t=1818
shen qi de su du 	神奇的速度	c=1 d=0.00140882 t=1818
shen qing 	申請	c=1 d=0.581717 t=1818
sheng kong 	聲控	c=2 d=0.0235628 t=1818
sheng ming shu 	聲明書	c=0 d=0.00761538 t=1818
sheng ri li wu 	生日禮物	c=1 d=0.0340475 t=1818
shi 	事	c=0 d=0.000238156 t=1818
shi 	式	c=0 d=0.00159229 t=1818
shi 	是	c=13 d=1.71692 t=1818
shi 	時	c=0 d=0.0918512 t=1818
shi a 	是啊	c=1 d=0.0029528 t=1818
shi bie 	識別	c=1 d=0.117068 t=1818
shi bu shi 	是不是	c=4 d=0.181641 t=1818
shi de 	是的	c=4 d=0.334504 t=1818
shi duo shao 	是多少	c=1 d=0.0944202 t=1818
shi fou 	是否	c=1 d=0.00113303 t=1818
shi fou he shi 	是否合適	c=1 d=0.000193545 t=1818
shi guo 	試過	c=1 d=0.00490955 t=1818
shi guo le 	試過了	c=1 d=0.00940934 t=1818
shi hao de 	是好的	c=1 d=0.00588705 t=1818
shi hou 	時候	c=1 d=0.00677172 t=1818
shi jian 	時間	c=3 d=0.881588 t=1818
shi jian lai bu ji 	時間來不及	c=1 d=0.0104099 t=1818
shi ni men 	是你們	c=1 d=0.000211772 t=1818
shi pin 	視頻	c=4 d=0.130751 t=1818
shi qing 	事情	c=2 d=0.0126766 t=1818
shi qing ban wan le ma 	事情辦完了嗎	c=1 d=0.0383884 t=1818
shi shi 	試試	c=1 d=0.19205 t=1818
shi xian 	實現	c=2 d=0.0319733 t=1818
shi xian tuan dui 	實現團隊	c=1 d=0.000493001 t=1818
shi xian xi jie 	實現細節	c=1 d=0.000368894 t=1818
shi xu yao 	是需要	c=1 d=0.0417941 t=1818
shi yan 	實驗	c=0 d=2.74654e-05 t=1818
shi yao 	是要	c=1 d=0.00719046 t=1818
shi yong 	使用	c=3 d=0.0246009 t=1818
shi yong ying wen 	是用英文	c=1 d=0.000156885 t=1818
shou 	受	c=1 d=0.298197 t=1818
shou dao 	收到	c=3 d=0.874326 t=1818
shou gong 	手工	c=1 d=0.00193316 t=1818
shou gong tong bu 	手工同步	c=1 d=0.0018734 t=1818
shou ji hao 	手機號	c=2 d=0.097622 t=1818
shou xin 	收信	c=1 d=0.00208081 t=1818
shou xu 	手續	c=0 d=0.000848038 t=1818
shu chu 	輸出	c=1 d=0.0188734 t=1818
shu ju 	數據	c=1 d=1 t=1819
shu lian 	熟練	c=0 d=1.65755e-05 t=1818
shu lian de 	熟練的	c=1 d=0.000166586 t=1818
shu ru 	輸入	c=1 d=0.00105417 t=1818
shu ru fa 	輸入法	c=1 d=0.000169951 t=1818
shu ru shu chu she bei 	輸入輸出設備	c=1 d=0.000131698 t=1818
shu yu 	術語	c=0 d=0.0941765 t=1818
shu zi 	數字	c=1 d=0.0439369 t=1818
shu zi hua 	數字化	c=0 d=4.55097e-05 t=1818
shu zi hua dong shi hui 	數字化董事會	c=1 d=0.000457378 t=1818
shuang pin 	雙拼	c=1 d=0.980248 t=1818
shuang yan 	雙眼	c=0 d=7.84864e-05 t=1818
shui mian 	睡眠	c=1 d=0.00305798 t=1818
shuo 	說	c=1 d=0.00532229 t=1818
shuo le yi ju hua 	說了一句話	c=1 d=0.0401553 t=1818
shuo ming 	說明	c=1 d=0.0466538 t=1818
shuo qing chu 	說清楚	c=1 d=0.000867409 t=1818
si 	思	c=1 d=0.384812 t=1818
si 	斯	c=0 d=0.0151072 t=1818
si hu 	似乎	c=1 d=0.00594622 t=1818
si qi 	思齊	c=0 d=0.000891518 t=1818
si xun huan 	死循環	c=1 d=0.0544757 t=1818
song guo qu 	送過去	c=0 d=0.00357931 t=1818
sou ji 	蒐集	c=2 d=0.872199 t=1818
su du 	速度	c=0 d=0.0967006 t=1818
sui bian 	隨便	c=0 d=0.0198891 t=1818
sui bian yong 	隨便用	c=1 d=0.199888 t=1818
suo xu yao 	所需要	c=1 d=0.000528747 t=1818
suo yi 	所以	c=2 d=0.483641 t=1818
suo you 	所有	c=0 d=3.19668e-05 t=1818
suo you gong zuo 	所有工作	c=1 d=0.00016826 t=1818
suo you xu yao 	所有需要	c=1 d=0.000153011 t=1818
ta 	他	c=3 d=0.364564 t=1818
ta 	她	c=1 d=0.0746459 t=1818
ta men 	他們	c=3 d=0.00236548 t=1818
ta zhen neng 	他真能	c=1 d=0.154124 t=1818
tai ci 	臺詞	c=2 d=0.00244436 t=1818
tai feng 	颱風	c=0 d=0.00287246 t=1818
tai min gan 	太敏感	c=0 d=7.8095e-05 t=1818
tai min gan le 	太敏感了	c=1 d=0.000784864 t=1818
tao bao 	淘寶	c=1 d=0.847894 t=1818
tao lun 	討論	c=0 d=0.0471948 t=1818
tao lun yi xia 	討論一下	c=1 d=0.137381 t=1818
ti gao 	提高	c=1 d=0.000206543 t=1818
ti qian 	提前	c=0 d=0.0276651 t=1818
ti qian yi dian ba 	提前一點吧	c=1 d=0.278037 t=1818
ti qu 	提取	c=2 d=0.953541 t=1818
ti qu ma 	提取碼	c=1 d=0.00326335 t=1818
ti shi 	提示	c=1 d=0.0500366 t=1818
ti shi wo 	提示我	c=1 d=0.0475963 t=1818
ti xing 	提醒	c=0 d=0.0499631 t=1818
ti xing ta 	提醒他	c=1 d=0.17552 t=1818
tian hao 	填好	c=1 d=0.0415857 t=1818
tian tian 	恬恬	c=1 d=0.0385808 t=1818
tian xie 	填寫	c=0 d=0.00426384 t=1818
tiao shi 	調試	c=1 d=0.0081887 t=1818
tiao zhan 	挑戰	c=1 d=0.000389752 t=1818
tiao zhan sai 	挑戰賽	c=1 d=0.0157644 t=1818
tie jin 	貼近	c=1 d=0.000291637 t=1818
ting che 	停車	c=3 d=0.367557 t=1818
ting ke 	停課	c=0 d=0.00391639 t=1818
ting ting 	聽聽	c=1 d=0.375311 t=1818
tong 	同	c=1 d=0.00621991 t=1818
tong bu 	同步	c=4 d=0.00714758 t=1818
tong fen 	通分	c=1 d=0.000281606 t=1818
tong guo 	通過	c=2 d=0.0572513 t=1818
tong guo hou 	通過後	c=1 d=0.000678925 t=1818
tong shi 	同事	c=3 d=0.072945 t=1818
tong shi 	同時	c=1 d=0.00367942 t=1818
tong yi 	同意	c=0 d=0.00018734 t=1818
tong yi 	統一	c=0 d=0.0196912 t=1818
tong yi deng lu 	統一登錄	c=1 d=0.197899 t=1818
tong zhi 	通知	c=0 d=0.00017643 t=1818
tou zi 	投資	c=1 d=0.000297529 t=1818
tu 	圖	c=0 d=0.000311976 t=1818
tu xing xue 	圖形學	c=3 d=0.941415 t=1818
tuan dui 	團隊	c=2 d=0.350929 t=1818
tui chu 	退出	c=1 d=0.0488012 t=1818
tui jian 	推薦	c=1 d=0.00189223 t=1818
wai mian 	外面	c=1 d=0.0380064 t=1818
wan cheng 	完成	c=3 d=0.492441 t=1818
wan cheng hou 	完成後	c=1 d=0.000200439 t=1818
wan le 	完了	c=0 d=0.000143728 t=1818
wan zheng 	完整	c=2 d=0.00137899 t=1818
wang pan 	網盤	c=0 d=0.00561348 t=1818
wang wang 	旺旺	c=1 d=0.00390694 t=1818
wei 	爲	c=2 d=0.00142894 t=1818
wei kong 	爲空	c=1 d=0.0483156 t=1818
wei le 	爲了	c=0 d=0.00271874 t=1818
wei le yi hou 	爲了以後	c=1 d=0.0273237 t=1818
wei li 	威力	c=0 d=0.00288686 t=1818
wei li bu xing a 	威力不行啊	c=1 d=0.0290133 t=1818
wei ruan 	微軟	c=1 d=0.722549 t=1818
wei ruan shuang pin 	微軟雙拼	c=1 d=0.000252273 t=1818
wei shen me 	爲什麼	c=1 d=0.00166989 t=1818
wei tuo 	委託	c=1 d=0.299692 t=1818
wei xin 	微信	c=2 d=0.0086899 t=1818
wei zhu 	爲主	c=2 d=0.00108905 t=1818
wei zhun 	爲準	c=2 d=0.276816 t=1818
wen 	問	c=1 d=0.00163682 t=1818
wen 	溫	c=2 d=0.0220734 t=1818
wen ben 	文本	c=0 d=7.96726e-05 t=1818
wen dang 	文檔	c=1 d=0.0111647 t=1818
wen jian 	文件	c=1 d=0.701173 t=1818
wen lao shi 	溫老師	c=5 d=0.184616 t=1818
wen ti 	問題	c=5 d=0.078277 t=1818
wen wen 	問問	c=0 d=0.0506617 t=1818
wen xiao yin 	溫曉寅	c=1 d=0.425283 t=1818
wen zi 	文字	c=1 d=0.000276943 t=1818
wo 	我	c=15 d=2.01159 t=1818
wo an pai 	我安排	c=1 d=0.000539429 t=1818
wo an zhao 	我按照	c=1 d=0.0464212 t=1818
wo ba 	我把	c=1 d=0.000476044 t=1818
wo de 	我的	c=3 d=0.112246 t=1818
wo de ba 	我的吧	c=1 d=0.790571 t=1818
wo de wu tai 	我的舞台	c=1 d=0.000251014 t=1818
wo fa ge shi pin gei ni 	我發個視頻給你	c=1 d=0.00355287 t=1818
wo gai le ji ge biao ti 	我改了幾個標題	c=1 d=0.0014018 t=1818
wo gei ni 	我給你	c=0 d=0.00357931 t=1818
wo gei ni song guo qu 	我給你送過去	c=1 d=0.0359725 t=1818
wo geng gai le 	我更改了	c=1 d=0.000796726 t=1818
wo hou lai you bu le yi feng 	我後來又補了一封	c=1 d=0.145876 t=1818
wo hui 	我會	c=3 d=0.685994 t=1818
wo hui tou 	我回頭	c=1 d=0.506617 t=1818
