# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15065
#@/user_id	brainocean_emacs
a 	啊	c=20 d=0.118374 t=15065
gu ding 	固定	c=1 d=0.000111762 t=15065
gu ding bu fen 	固定部分	c=1 d=9.40293e-12 t=15065
gu ding de 	固定的	c=0 d=0.0240508 t=15065
gu du de 	孤獨的	c=0 d=0.0289384 t=15065
gu fen 	估分	c=0 d=0.1 t=5775
gu gu 	鼓鼓	c=0 d=2.25097e-17 t=15065
gu gu jin 	鼓鼓勁	c=1 d=2.26225e-16 t=15065
gu ji 	估計	c=0 d=1.64928e-05 t=15065
gu ji yi ge 	估計一個	c=1 d=0.000165755 t=15065
gu jian 	固件	c=1 d=0.00276698 t=15065
gu li 	鼓勵	c=11 d=2.37714 t=15065
gu li da jia 	鼓勵大家	c=6 d=0.374236 t=15065
gu li da jia can jia 	鼓勵大家參加	c=1 d=1.68518e-22 t=15065
gu li da jia ji ji can yu 	鼓勵大家積極參與	c=1 d=2.0686e-22 t=15065
gu li ni men 	鼓勵你們	c=1 d=0.000639387 t=15065
gu li ni qu 	鼓勵你去	c=1 d=0.373439 t=15065
gu lv 	顧慮	c=1 d=1.03865e-05 t=15065
gu mo 	鼓膜	c=1 d=5.67955e-22 t=15065
gu niang 	姑娘	c=0 d=0.1 t=5597
gu piao 	股票	c=2 d=8.42716e-13 t=15065
gu piao ji shui 	股票計稅	c=1 d=4.25718e-13 t=15065
gu quan 	股權	c=1 d=3.29896e-13 t=15065
gu shi 	故事	c=1 d=0.0415028 t=15065
gu shi ci 	古詩詞	c=1 d=1.15164e-14 t=15065
gu shi jiang tong 	故事講通	c=1 d=0.416862 t=15065
gu shi xian 	故事線	c=10 d=0.175762 t=15065
gu suan 	估算	c=1 d=0.197899 t=15065
gu suan wen ti 	估算問題	c=1 d=7.43495e-14 t=15065
gua le 	掛了	c=0 d=2.75693e-20 t=15065
guan 	管	c=1 d=0.00318278 t=15065
guan ai 	關愛	c=0 d=3.09292e-20 t=15065
guan ai bao 	關愛包	c=2 d=6.73802e-19 t=15065
guan cha dao 	觀察到	c=0 d=0.0113608 t=15065
guan dao 	管道	c=0 d=1.07489e-10 t=15065
guan dao fu 	管道符	c=1 d=5.6173e-10 t=15065
guan diao 	關掉	c=0 d=0.0551267 t=15065
guan fang 	官方	c=2 d=0.0156076 t=15065
guan hao 	管好	c=0 d=5.54516e-06 t=15065
guan hao ren cai wu 	管好人財物	c=1 d=5.57296e-05 t=15065
guan jian 	關鍵	c=0 d=0.00572688 t=15065
guan jian shi 	關鍵是	c=1 d=1.1234e-16 t=15065
guan jian wen dang 	關鍵文檔	c=1 d=9.6128e-07 t=15065
guan jian yao su zhi yi 	關鍵要素之一	c=1 d=0.0575558 t=15065
guan jian zi 	關鍵字	c=2 d=0.446817 t=15065
guan jian zi can shu 	關鍵字參數	c=2 d=0.406834 t=15065
guan jun 	官軍	c=1 d=0.00436124 t=15065
guan li 	管理	c=17 d=0.422732 t=15065
guan li ceng 	管理層	c=0 d=8.56853e-08 t=15065
guan li de 	管理的	c=1 d=2.83751e-05 t=15065
guan li xie tiao 	管理協調	c=1 d=0.00349997 t=15065
guan li yuan 	管理員	c=1 d=0.0350008 t=15065
guan lian 	關聯	c=1 d=4.45161e-09 t=15065
guan wang 	官網	c=2 d=0.290835 t=15065
guan xi 	關係	c=2 d=0.000104638 t=15065
guan xi mi qie 	關係密切	c=1 d=0.00147367 t=15065
guan xi xing shu ju ku 	關係型數據庫	c=1 d=1.61103e-22 t=15065
guan xin ni 	關心你	c=1 d=1.13176e-15 t=15065
guan yong 	慣用	c=0 d=2.59011e-21 t=15065
guan yong fa 	慣用法	c=2 d=0.0441572 t=15065
guan yu 	慣於	c=1 d=0.704688 t=15065
guan yu 	關於	c=12 d=0.70822 t=15065
guan yu ci fu lie che 	關於磁浮列車	c=1 d=1 t=5492
guan yu cu xin 	關於粗心	c=1 d=9.9295e-06 t=15065
guan yu shen me shi qing 	關於什麼事情	c=1 d=0.00366107 t=15065
guan yu xu qiu 	關於需求	c=1 d=0.000311223 t=15065
guan yu zong ping 	關於綜評	c=1 d=1 t=5694
guan zhao 	關照	c=0 d=3.62711e-12 t=15065
guan zhao le yi xia 	關照了一下	c=1 d=3.64529e-11 t=15065
guan zhu 	關注	c=3 d=0.317927 t=15065
guan zhu dian 	關注點	c=1 d=2.19883e-05 t=15065
guan zhu du 	關注度	c=1 d=0.000303539 t=15065
guan zhu ma 	關注嗎	c=1 d=4.31183e-16 t=15065
guan zhu yu li jie mei ge bu zhou bi bei de xin li biao zheng 	關注於理解每個步驟必備的心理表徵	c=1 d=3.45738e-06 t=15065
guan zhu zi ji 	關注自己	c=1 d=0.0137736 t=15065
guang 	廣	c=1 d=0.000285862 t=15065
guang fan 	廣泛	c=0 d=0.1 t=5376
guang fan ce shi 	廣泛測試	c=1 d=1 t=5377
guang jie 	光潔	c=0 d=0.1 t=5607
guang jie wu xia 	光潔無暇	c=1 d=1 t=5608
guang ming 	光明	c=0 d=0.0674288 t=15065
guang pan 	光盤	c=0 d=1.94714e-17 t=15065
guang zhao 	光照	c=1 d=2.26811e-17 t=15065
gui 	歸	c=1 d=0.0293049 t=15065
gui dao 	軌道	c=1 d=1.18171 t=5456
gui dao xia fang 	軌道下方	c=1 d=1 t=5430
gui ding 	規定	c=1 d=3.33846e-06 t=15065
gui fan 	規範	c=4 d=0.0204453 t=15065
gui fan zuo yong 	規範作用	c=1 d=0.000257369 t=15065
gui hua 	規劃	c=1 d=0.064894 t=15065
gui lei 	歸類	c=1 d=1.22053e-21 t=15065
gui lv 	規律	c=2 d=0.0722527 t=15065
gui mo 	規模	c=1 d=0.00187793 t=15065
gui mo ke kong 	規模可控	c=1 d=0.0188734 t=15065
gui tai 	櫃檯	c=1 d=0.00408677 t=15065
gui ze 	規則	c=1 d=0.00160829 t=15065
gui zong 	歸總	c=1 d=1.15223e-20 t=15065
gun 	滾	c=0 d=1.38497e-09 t=15065
guo 	過	c=2 d=0.0690734 t=15065
guo bu duo jiu 	過不多久	c=1 d=0.000466618 t=15065
guo cheng 	過程	c=5 d=0.324631 t=15065
guo cheng zhong 	過程中	c=1 d=0.00416933 t=15065
guo cheng zhong de shi pin 	過程中的視頻	c=1 d=1.58079e-05 t=15065
guo hang 	國行	c=1 d=7.83771e-17 t=15065
guo ji 	國際	c=2 d=3.3935e-17 t=15065
guo ji jing zheng dui shou 	國際競爭對手	c=1 d=3.4088e-16 t=15065
guo ji shang 	國際上	c=1 d=0.209088 t=15065
guo jia 	國家	c=0 d=7.7518e-06 t=15065
guo jia bu tie 	國家補貼	c=1 d=7.79066e-05 t=15065
guo kuai 	過快	c=0 d=8.27241e-06 t=15065
guo lai 	過來	c=2 d=8.85082e-07 t=15065
guo le 	過了	c=0 d=1.3845e-05 t=15065
guo le yi hui 	過了一會	c=1 d=1 t=5586
guo le yi xia 	過了一下	c=1 d=9.05608e-11 t=15065
guo lv 	過濾	c=0 d=0.0818731 t=15065
guo ma lu 	過馬路	c=3 d=8.79797e-18 t=15065
guo mu 	過目	c=0 d=9.90893e-12 t=15065
guo nei 	國內	c=3 d=0.0376286 t=15065
guo qing 	國慶	c=1 d=0.458406 t=15065
guo qu 	過去	c=1 d=0.0235256 t=15065
guo qu na 	過去拿	c=1 d=0.0151463 t=15065
guo qu zai 	過去在	c=1 d=4.51889e-09 t=15065
guo yao 	國藥	c=0 d=3.85402e-20 t=15065
guo yao zhun zi 	國藥準字	c=1 d=3.87334e-19 t=15065
guo yi bian 	過一遍	c=1 d=5.36082e-19 t=15065
guo yi xia 	過一下	c=1 d=1.25037e-11 t=15065
guo yu 	過於	c=1 d=8.39743e-05 t=15065
guo zi wei 	國資委	c=4 d=0.000432736 t=15065
ha 	哈	c=16 d=0.97531 t=15065
ha fo 	哈佛	c=1 d=7.01037e-11 t=15065
ha fo xing fu ke 	哈佛幸福課	c=2 d=1.26681e-10 t=15065
ha ha 	哈哈	c=7 d=8.58924e-06 t=15065
hai 	還	c=4 d=0.0307481 t=15065
hai bu tai qing chu 	還不太清楚	c=1 d=0.000232877 t=15065
hai bu xu yao 	還不需要	c=1 d=0.26982 t=15065
hai hao 	還好	c=1 d=0.000225994 t=15065
hai hui you 	還會有	c=1 d=0.00244185 t=15065
hai mei 	還沒	c=1 d=2.44817e-05 t=15065
hai mei gao ding 	還沒搞定	c=1 d=2.39553e-13 t=15065
hai mei guo lai 	還沒過來	c=1 d=8.33539e-06 t=15065
hai mei shou dao 	還沒收到	c=1 d=6.83374e-22 t=15065
hai mei shuo ne 	還沒說呢	c=1 d=1.15125e-10 t=15065
hai mei tie shang 	還沒貼上	c=1 d=5.05911e-14 t=15065
hai mei you 	還沒有	c=2 d=0.000934966 t=15065
hai mei you ding 	還沒有定	c=1 d=7.26396e-05 t=15065
hai mian lin zhe yi xie wen ti 	還面臨着一些問題	c=1 d=1 t=5559
hai neng 	還能	c=1 d=4.7203e-22 t=15065
hai shang xue 	還上學	c=1 d=0.0389686 t=15065
hai shi 	還是	c=26 d=0.58262 t=15065
hai shi bi jiao 	還是比較	c=1 d=2.19539e-16 t=15065
hai shi bi jiao zheng mian 	還是比較正面	c=1 d=9.73289e-06 t=15065
hai shi jin gang lang 	還是金剛狼	c=1 d=0.650509 t=15065
hai shi ke yi lai na de dui ba 	還是可以來拿的對吧	c=1 d=0.0232837 t=15065
hai shi man zhong yao de 	還是蠻重要的	c=1 d=6.8161e-21 t=15065
hai shi ni lai zhu dao 	還是你來主導	c=1 d=0.0018363 t=15065
hai shi ni men zi ji 	還是你們自己	c=1 d=0.177284 t=15065
hai shi quan bu 	還是全部	c=1 d=0.0205478 t=15065
hai shi shou ji 	還是手機	c=1 d=0.000189713 t=15065
hai shi wan zheng de 	還是完整的	c=1 d=5.77343e-09 t=15065
hai shi yao dao gong si 	還是要到公司	c=1 d=7.07354e-16 t=15065
hai shi yao qu de a 	還是要去的啊	c=1 d=6.74254e-11 t=15065
hai shi yi lou 	還是一樓	c=1 d=0.802519 t=15065
hai shi zhe ge 	還是這個	c=1 d=2.13384e-05 t=15065
hai shun li ba 	還順利吧	c=1 d=1.16081e-19 t=15065
hai shuo 	還說	c=1 d=1.66382e-19 t=15065
hai xing 	還行	c=1 d=2.37233e-11 t=15065
hai xing de 	還行的	c=1 d=2.0615e-11 t=15065
hai xu yao 	還需要	c=6 d=0.008396 t=15065
hai xu yao wo zuo shen me 	還需要我做什麼	c=1 d=0.00197932 t=15065
hai yao 	還要	c=3 d=2.00439e-05 t=15065
hai yao kai ge 	還要開個	c=1 d=0.000201444 t=15065
hai yao man 	還要慢	c=1 d=1.39263e-14 t=15065
hai you 	還有	c=7 d=0.955778 t=15065
hai you ge wen ti 	還有個問題	c=1 d=0.131336 t=15065
hai you ge xiao wen ti 	還有個小問題	c=1 d=2.36719e-20 t=15065
hai you ma 	還有嗎	c=1 d=0.718924 t=15065
hai you shen me 	還有什麼	c=1 d=5.98111e-13 t=15065
hai you shui 	還有誰	c=1 d=1.35543e-19 t=15065
hai you yi ge 	還有一個	c=1 d=1.42395e-11 t=15065
hai zai 	還在	c=2 d=0.0658191 t=15065
hai zai lun zheng jie duan 	還在論證階段	c=1 d=0.201897 t=15065
hai zi 	孩子	c=4 d=0.837728 t=15065
han 	含	c=1 d=4.12384e-12 t=15065
han 	喊	c=0 d=9.58635e-05 t=15065
han 	韓	c=5 d=0.697788 t=15065
han bing 	韓冰	c=4 d=2.99122e-08 t=15065
han guo 	喊過	c=0 d=0.000522135 t=15065
han guo 	韓國	c=0 d=0.000279479 t=15065
han guo le 	喊過了	c=1 d=0.00524752 t=15065
han guo tong shi 	韓國同事	c=1 d=0.00280879 t=15065
han jia 	寒假	c=3 d=2.51664e-05 t=15065
han kou ling 	喊口令	c=0 d=0.000530026 t=15065
han kou ling zhi qian 	喊口令之前	c=1 d=0.00532682 t=15065
han shu 	函數	c=6 d=1.55883 t=15065
han shu sheng ming 	函數聲明	c=1 d=0.18452 t=15065
han si qi 	韓思齊	c=18 d=0.297543 t=15065
han si qi qu na 	韓思齊去拿	c=1 d=3.03849e-16 t=15065
han tie liang 	含鐵量	c=1 d=9.54016e-06 t=15065
han wo yi sheng 	喊我一聲	c=1 d=0.00096344 t=15065
han yi 	含義	c=9 d=0.304075 t=15065
han yi shi shen me 	含義是什麼	c=1 d=2.12906e-08 t=15065
han you 	含有	c=1 d=1.50395e-07 t=15065
hang 	行	c=4 d=0.031117 t=15065
hang kai tou 	行開頭	c=2 d=4.17457e-10 t=15065
hang mo wei 	行末尾	c=1 d=2.1188e-10 t=15065
hang shou 	行首	c=2 d=6.03982e-10 t=15065
hang shou he hang mo 	行首和行末	c=1 d=2.34164e-10 t=15065
hang xian 	航線	c=0 d=1.56506e-06 t=15065
hang ye 	行業	c=2 d=0.663909 t=15065
hang ye fa zhan 	行業發展	c=1 d=0.142274 t=15065
hao 	好	c=7 d=0.0872159 t=15065
hao 	號	c=7 d=1.06035 t=15065
hao chu 	好處	c=2 d=4.33625e-16 t=15065
hao de 	好的	c=13 d=0.0992028 t=15065
hao hao 	好好	c=5 d=0.339395 t=15065
hao hao liao liao 	好好聊聊	c=1 d=0.101774 t=15065
hao ji tian 	好幾天	c=1 d=0.000147011 t=15065
hao la 	好啦	c=0 d=1.01632e-15 t=15065
hao la hao la 	好啦好啦	c=1 d=1.02142e-14 t=15065
hao le 	好了	c=5 d=0.767206 t=15065
hao le ba 	好了吧	c=0 d=0.0121238 t=15065
hao le hao le 	好了好了	c=1 d=1.00621e-14 t=15065
hao peng you 	好朋友	c=1 d=0.060205 t=15065
hao shi 	好事	c=1 d=4.78838e-14 t=15065
hao shu 	好書	c=3 d=1.71748e-10 t=15065
hao xiang 	好像	c=10 d=0.103649 t=15065
hao xiang bu xing 	好像不行	c=1 d=0.494109 t=15065
hao xiang shou ji shang 	好像手機上	c=1 d=0.752014 t=15065
hao xie 	好些	c=1 d=0.122456 t=15065
hao xie 	好寫	c=1 d=1.91418e-21 t=15065
hao you 	好有	c=1 d=2.63562e-19 t=15065
he 	和	c=247 d=6.43719 t=15065
he 	鶴	c=0 d=2.52273e-05 t=15065
he bei 	河北	c=1 d=0.00500029 t=15065
he bie ren gong xiang de 	和別人共享的	c=1 d=0.000283018 t=15065
he bing 	合併	c=1 d=0.0244775 t=15065
he bing cheng gong 	合併成功	c=1 d=1 t=5216
he bing diao 	合併掉	c=1 d=6.90007e-18 t=15065
he bu he 	合不合	c=0 d=9.76971e-22 t=15065
he bu he shi 	合不合適	c=1 d=9.81868e-21 t=15065
he bu zhou 	和步驟	c=1 d=0.203926 t=15065
he da jia 	和大家	c=1 d=8.90125e-14 t=15065
he da jia shuo 	和大家說	c=1 d=2.08329e-17 t=15065
he dong ji 	河東集	c=1 d=0.349938 t=15065
he fan wei 	和範圍	c=2 d=0.000296045 t=15065
he han yi 	和含義	c=2 d=0.293994 t=15065
he ji 	合計	c=0 d=1.01301e-06 t=15065
he jia huan 	閤家歡	c=2 d=2.65393e-12 t=15065
he li 	合力	c=1 d=0.0154523 t=15065
he li 	合理	c=2 d=0.0152222 t=15065
he li cha che 	合力叉車	c=3 d=0.00032091 t=15065
he nan 	河南	c=1 d=0.0280832 t=15065
he nan he bei 	河南河北	c=1 d=0.00440507 t=15065
he ni 	和你	c=5 d=0.00115991 t=15065
he ni jiang yi xia 	和你講一下	c=1 d=9.52039e-11 t=15065
he ni lian xi 	和你聯繫	c=1 d=8.25948e-16 t=15065
he ni mei guan xi 	和你沒關係	c=1 d=0.0620385 t=15065
he ni men 	和你們	c=2 d=0.17552 t=15065
he ni ti dao 	和你提到	c=1 d=8.03339e-13 t=15065
he pu tong 	和普通	c=1 d=8.33823e-10 t=15065
he qi ta bu men 	和其他部門	c=1 d=1.58871e-05 t=15065
he qi ta xin xi 	和其他信息	c=1 d=2.86993e-21 t=15065
he qian mian 	和前面	c=1 d=0.25284 t=15065
he shang mian zhe yi ju 	和上面這一句	c=1 d=2.62658e-08 t=15065
he shi 	合適	c=2 d=0.00107563 t=15065
he shi 	覈實	c=1 d=2.25174e-20 t=15065
he shi ba 	合適吧	c=1 d=3.14833e-22 t=15065
he shi de 	合適的	c=1 d=1.58241e-17 t=15065
he shi zhi 	和食指	c=1 d=3.9272e-05 t=15065
he suan 	核酸	c=5 d=0.0461896 t=15065
he ta 	和他	c=1 d=0.00194013 t=15065
he ta 	和她	c=1 d=9.03423e-12 t=15065
he ta men 	和他們	c=2 d=5.42564e-10 t=15065
he ta shuo yi xia 	和他說一下	c=2 d=0.00759496 t=15065
he tong 	合同	c=3 d=0.365872 t=15065
he tong guan li 	合同管理	c=2 d=0.684666 t=15065
he tuan dui 	和團隊	c=1 d=1.68461e-18 t=15065
he wai bu 	和外部	c=1 d=6.92994e-10 t=15065
he wai gong yi qi 	和外公一起	c=1 d=1.0712e-15 t=15065
he wo 	和我	c=8 d=0.286155 t=15065
he wo de 	和我的	c=1 d=0.00767337 t=15065
he wo gou tong 	和我溝通	c=1 d=0.000792752 t=15065
he wo jiang 	和我講	c=1 d=0.00165327 t=15065
he wo men 	和我們	c=1 d=0.213312 t=15065
he wo shuo guo le 	和我說過了	c=1 d=0.0037164 t=15065
he wo shuo yi sheng 	和我說一聲	c=1 d=0.00010569 t=15065
he wo ti dao 	和我提到	c=1 d=6.3378e-18 t=15065
he xiao peng you 	和小朋友	c=1 d=9.57137e-15 t=15065
he xie 	和諧	c=0 d=7.91109e-10 t=15065
he xin 	核心	c=1 d=2.26579e-05 t=15065
he yan shi huan jing 	和演示環境	c=1 d=0.0025608 t=15065
he you xiao 	和有效	c=1 d=0.0152985 t=15065
he zi 	盒子	c=0 d=0.066365 t=15065
he zi ji da cheng yi ge xie yi 	和自己達成一個協議	c=1 d=0.272532 t=15065
he zuo 	合作	c=9 d=0.246485 t=15065
he zuo de a 	和做的啊	c=1 d=0.00798652 t=15065
he zuo de neng li 	和做的能力	c=1 d=0.000261259 t=15065
he zuo huo ban 	合作伙伴	c=1 d=0.000259956 t=15065
he zuo mo shi de 	合作模式的	c=1 d=1 t=5059
he zuo xiang mu 	合作項目	c=1 d=0.107528 t=15065
hei an 	黑暗	c=0 d=0.1 t=5657
hei mu 	黑幕	c=1 d=4.46465e-14 t=15065
hen 	很	c=3 d=0.0260249 t=15065
hen da 	很大	c=2 d=5.71501e-07 t=15065
hen da cheng du shang 	很大程度上	c=0 d=0.00816756 t=15065
hen da de 	很大的	c=2 d=0.00245409 t=15065
hen duo 	很多	c=5 d=0.0675424 t=15065
hen duo ren 	很多人	c=2 d=2.89729e-15 t=15065
hen duo shi hou 	很多時候	c=0 d=1.26229e-06 t=15065
hen duo shi hou zai kong zhuan 	很多時候在空轉	c=1 d=1.26861e-05 t=15065
hen duo zuo jia 	很多作家	c=1 d=1.64755e-21 t=15065
hen hao de 	很好的	c=1 d=0.00021605 t=15065
hen hao le 	很好了	c=1 d=8.85082e-06 t=15065
hen hao qi 	很好奇	c=2 d=1.25711e-15 t=15065
hen jiu 	很久	c=1 d=0.00013952 t=15065
hen jiu le 	很久了	c=1 d=0.181772 t=15065
hen jiu shi jian 	很久時間	c=1 d=1.07565e-05 t=15065
hen ke kao 	很可靠	c=1 d=6.16116e-09 t=15065
hen ke neng 	很可能	c=0 d=3.6084e-10 t=15065
hen ke neng qi zuo yong de 	很可能起作用的	c=1 d=3.62649e-09 t=15065
hen kuai 	很快	c=2 d=0.123823 t=15065
hen ling san 	很零散	c=1 d=4.91812e-05 t=15065
hen nan 	很難	c=2 d=7.09704e-21 t=15065
hen qiang 	很強	c=0 d=2.04488e-05 t=15065
hen rong yi 	很容易	c=0 d=1.11548e-22 t=15065
hen rong yi pao shen 	很容易跑神	c=1 d=1.12107e-21 t=15065
hen shao 	很少	c=0 d=0.1 t=5467
hen shun li 	很順利	c=1 d=0.000332125 t=15065
hen xiao de 	很小的	c=0 d=3.03798e-15 t=15065
hen you 	很有	c=1 d=0.00526021 t=15065
hen you bang zhu 	很有幫助	c=1 d=0.0057994 t=15065
hen you bang zhu le 	很有幫助了	c=1 d=0.0528657 t=15065
hen you li 	很有利	c=1 d=6.03917e-09 t=15065
hen you tiao li xing 	很有條理性	c=1 d=2.80927e-05 t=15065
hen zhong yao 	很重要	c=2 d=1.16295 t=15065
heng 	橫	c=0 d=0.1 t=5043
heng hua 	橫畫	c=5 d=0.0148499 t=15065
heng ping shu zhi 	橫平豎直	c=1 d=1 t=5044
heng xian 	橫線	c=1 d=6.6177e-05 t=15065
heng xiang 	橫向	c=1 d=3.86873e-05 t=15065
hong 	宏	c=2 d=0.213379 t=15065
hong bao 	紅包	c=1 d=3.22632e-12 t=15065
hong bi 	紅筆	c=0 d=1.14493e-05 t=15065
hong bi biao zhu 	紅筆標註	c=1 d=0.000115067 t=15065
hong ling jin 	紅領巾	c=2 d=1.20225e-10 t=15065
hong lou meng 	紅樓夢	c=1 d=2.68237e-20 t=15065
hong se 	紅色	c=1 d=1.80117e-11 t=15065
hong xia 	紅霞	c=0 d=4.68957e-05 t=15065
hong xing 	紅杏	c=1 d=2.65568e-20 t=15065
hong zhe lian 	紅着臉	c=0 d=0.1 t=5597
hou 	後	c=4 d=0.386978 t=15065
hou bei 	後備	c=1 d=5.45407e-16 t=15065
hou duan 	後端	c=2 d=0.0384847 t=15065
hou lai 	後來	c=0 d=0.0145148 t=15065
hou mian 	後面	c=6 d=1.51633e-12 t=15065
hou mian ba 	後面吧	c=1 d=2.60177e-14 t=15065
hou qin 	後勤	c=1 d=0.0930145 t=15065
hou tai 	後臺	c=1 d=0.000464291 t=15065
hou tian 	後天	c=0 d=0.0165299 t=15065
hou xu 	後續	c=2 d=0.0351557 t=15065
hou xu zhi chi mo shi 	後續支持模式	c=3 d=0.0617695 t=15065
hou xu zhi chi mo shi de 	後續支持模式的	c=1 d=1 t=5187
hou xuan 	候選	c=3 d=5.36374e-06 t=15065
hou xuan fang an 	候選方案	c=1 d=2.51664e-05 t=15065
hou xuan ren 	候選人	c=5 d=0.00222978 t=15065
hou xuan ren ma 	候選人嗎	c=1 d=0.00191125 t=15065
hou xuan xiang 	候選項	c=1 d=4.78512e-06 t=15065
hou xuan zhong 	候選中	c=1 d=2.32917e-06 t=15065
hou zhe 	後者	c=1 d=0.99005 t=15065
hu 	互	c=0 d=0.00146986 t=15065
hu 	呼	c=0 d=5.42964e-23 t=15065
hu 	弧	c=0 d=1.48641e-17 t=15065
hu 	湖	c=1 d=3.74533e-06 t=15065
hu bu 	互不	c=0 d=6.65708e-09 t=15065
hu bu xiang tong 	互不相同	c=3 d=2.09764e-07 t=15065
hu cao zuo 	互操作	c=2 d=0.118085 t=15065
hu du 	弧度	c=1 d=0.179066 t=15065
hu jiao ban 	滬教版	c=4 d=2.84053e-09 t=15065
hu jiao zhuan yi 	呼叫轉移	c=0 d=5.51169e-23 t=15065
hu jiao zhuan yi le 	呼叫轉移了	c=1 d=5.53932e-22 t=15065
hu lian 	互聯	c=1 d=0.0190631 t=15065
hu lve 	忽略	c=0 d=6.49382e-11 t=15065
hu lve da xiao xie 	忽略大小寫	c=1 d=6.52637e-10 t=15065
hu tong you wu 	互通有無	c=1 d=2.95532e-13 t=15065
hu wei 	互爲	c=0 d=1.05181e-07 t=15065
hu wei zhi chi 	互爲支持	c=1 d=1.05708e-06 t=15065
hu wo yi xia 	呼我一下	c=1 d=5.45685e-22 t=15065
hu xi 	呼吸	c=1 d=0.0216536 t=15065
hu xi kong zhi 	呼吸控制	c=1 d=0.217621 t=15065
hu xiang 	互相	c=0 d=0.029523 t=15065
hu xiang bang zhu 	互相幫助	c=1 d=2.97013e-13 t=15065
hu xiang pi ping 	互相批評	c=1 d=1.11472e-13 t=15065
hu zhi 	互質	c=1 d=5.6152e-07 t=15065
hua 	化	c=3 d=0.893302 t=15065
hua 	畫	c=1 d=5.7294e-05 t=15065
hua 	花	c=1 d=0.0501576 t=15065
hua 	話	c=4 d=0.0859483 t=15065
hua chu 	畫出	c=2 d=0.000159083 t=15065
hua de 	畫的	c=0 d=8.0764e-18 t=15065
hua de shi jian zui duo 	花的時間最多	c=1 d=0.50409 t=15065
hua de yi ge 	畫的一個	c=1 d=8.11689e-17 t=15065
hua ding 	劃定	c=0 d=6.08515e-11 t=15065
hua ding fan wei 	劃定範圍	c=1 d=6.11565e-10 t=15065
hua fei 	花費	c=0 d=0.1 t=5561
hua guo 	劃過	c=0 d=1.40686e-17 t=15065
hua guo tian kong 	劃過天空	c=1 d=1.41391e-16 t=15065
hua jian 	化簡	c=2 d=0.0145524 t=15065
hua ju 	話劇	c=0 d=2.08619e-05 t=15065
hua ju ju ben 	話劇劇本	c=1 d=0.000209665 t=15065
hua li de 	華麗的	c=0 d=0.1 t=5667
hua li de yan chu 	華麗的演出	c=1 d=1 t=5668
hua ping 	花屏	c=1 d=1.49823e-21 t=15065
hua shi jian 	花時間	c=0 d=0.00411719 t=15065
hua shu xian 	畫豎線	c=1 d=9.37386e-05 t=15065
hua tuo 	華佗	c=1 d=0.0239649 t=15065
hua tuo hua tuo 	華佗華佗	c=1 d=0.0237541 t=15065
hua wan ba 	花完吧	c=1 d=4.74315e-20 t=15065
hua wei 	化爲	c=0 d=2.58035e-06 t=15065
hua wei 	華爲	c=1 d=3.70807e-06 t=15065
hua xian 	劃線	c=1 d=5.00482e-05 t=15065
hua xiang 	畫像	c=0 d=3.78297e-07 t=15065
hua xu 	花絮	c=1 d=1.88439e-13 t=15065
hua yin 	華陰	c=1 d=0.178173 t=15065
hua yuan 	畫圓	c=3 d=0.0152236 t=15065
huai 	壞	c=0 d=1.73384e-05 t=15065
huai yi 	懷疑	c=1 d=0.00562801 t=15065
huan 	換	c=2 d=7.86626e-05 t=15065
huan 	還	c=0 d=3.68005e-06 t=15065
huan cheng 	幻城	c=1 d=0.286505 t=15065
huan deng pian 	幻燈片	c=1 d=3.74597e-08 t=15065
huan diao 	換掉	c=1 d=0.0581343 t=15065
huan ge 	換個	c=0 d=0.000927901 t=15065
huan ge ban zi 	換個板子	c=1 d=0.00932553 t=15065
huan guo 	換過	c=0 d=0.000472447 t=15065
huan guo le 	換過了	c=2 d=0.0164267 t=15065
huan hang 	換行	c=0 d=4.0783e-09 t=15065
huan hang fu 	換行符	c=3 d=7.44808e-07 t=15065
huan jie 	環節	c=0 d=3.99959e-15 t=15065
huan jie 	緩解	c=0 d=0.1 t=5351
huan jie cuo shi 	緩解措施	c=1 d=1 t=5352
huan jing 	環境	c=3 d=0.0823201 t=15065
huan le 	歡樂	c=1 d=2.49975e-14 t=15065
huan man 	緩慢	c=1 d=0.532592 t=15065
huan suan 	換算	c=2 d=0.0723066 t=15065
huan yi ge 	換一個	c=1 d=0.00915679 t=15065
huan yi ge huo 	換一個貨	c=1 d=0.00806679 t=15065
huan ying 	歡迎	c=1 d=0.0055299 t=15065
huan ying can jia 	歡迎參加	c=1 d=0.0555762 t=15065
huan ying da jia 	歡迎大家	c=1 d=1.53089e-10 t=15065
huan ying dian zan 	歡迎點讚	c=1 d=9.44524e-06 t=15065
huang ban 	黃斑	c=1 d=0.0987662 t=15065
huang di 	皇帝	c=0 d=2.4059e-06 t=15065
huang di de xin zhuang 	皇帝的新裝	c=1 d=2.41796e-05 t=15065
huang huang 	煌煌	c=1 d=1.22307e-16 t=15065
huang jun 	黃俊	c=1 d=0.227638 t=15065
huang se 	黃色	c=1 d=0.0186856 t=15065
hui 	回	c=4 d=0.189191 t=15065
hui 	惠	c=0 d=1.9647e-05 t=15065
hui 	會	c=42 d=1.58609 t=15065
hui 	輝	c=1 d=0.818731 t=15065
hui bao 	回報	c=1 d=0.612626 t=15065
hui bao 	彙報	c=2 d=0.0481909 t=15065
